Id,SalePrice
1461,189953.89
1462,223005.06
1463,200266.67
1464,240965.52
1465,208179.58
1466,202903.55
1467,230930.14
1468,202480.05
1469,189160.58
1470,153382.88
1471,210629.73
1472,117640.75
1473,123319.086
1474,198634.94
1475,180418.81
1476,361250.84
1477,295743.84
1478,281177.12
1479,283021.56
1480,382676.75
1481,331053.22
1482,221994.98
1483,193173.64
1484,182736.1
1485,195040.72
1486,216296.31
1487,350843.1
1488,277993.2
1489,229379.33
1490,229652.97
1491,214395.52
1492,151344.3
1493,242893.89
1494,311043.66
1495,298936.9
1496,224929.2
1497,201196.36
1498,172359.5
1499,167366.98
1500,164183.73
1501,187117.77
1502,171168.69
1503,319852.0
1504,245027.75
1505,232385.83
1506,279433.47
1507,229608.6
1508,236575.6
1509,239306.47
1510,175940.33
1511,169047.12
1512,240882.77
1513,206126.42
1514,251226.62
1515,275555.56
1516,227555.95
1517,206639.22
1518,203102.97
1519,231863.48
1520,155985.56
1521,158260.45
1522,193799.2
1523,154562.0
1524,204724.94
1525,179470.67
1526,149598.16
1527,195608.1
1528,205818.17
1529,204329.58
1530,232535.58
1531,173129.06
1532,178472.03
1533,221780.11
1534,197080.81
1535,251742.33
1536,201214.05
1537,151056.56
1538,263918.3
1539,295768.16
1540,179543.1
1541,238777.45
1542,204915.9
1543,296484.7
1544,175598.53
1545,180627.28
1546,199780.98
1547,207999.64
1548,204648.89
1549,187331.17
1550,190289.1
1551,149076.52
1552,210429.6
1553,230901.77
1554,188615.69
1555,215205.2
1556,148264.16
1557,151107.95
1558,136824.53
1559,168207.17
1560,218239.69
1561,199836.27
1562,197107.5
1563,146289.0
1564,172263.05
1565,172392.03
1566,271881.88
1567,138363.88
1568,234501.84
1569,174721.73
1570,209751.12
1571,212013.1
1572,212649.1
1573,246091.89
1574,167581.94
1575,202004.95
1576,321903.4
1577,230838.08
1578,236996.7
1579,170255.27
1580,228231.48
1581,211040.28
1582,201490.78
1583,368485.6
1584,257285.95
1585,152742.67
1586,172904.47
1587,182087.36
1588,205935.98
1589,151607.89
1590,187394.98
1591,137860.31
1592,192176.0
1593,213252.97
1594,236452.05
1595,183053.08
1596,301988.84
1597,249358.08
1598,243124.06
1599,211214.53
1600,204993.03
1601,126160.664
1602,161455.5
1603,182074.66
1604,263736.38
1605,294949.62
1606,225429.22
1607,260349.69
1608,255186.81
1609,227156.44
1610,186896.77
1611,172386.9
1612,201285.67
1613,194969.27
1614,172195.2
1615,156071.56
1616,112774.54
1617,152670.19
1618,189958.53
1619,208759.88
1620,204512.11
1621,172228.86
1622,176864.62
1623,289797.53
1624,210834.52
1625,166687.92
1626,194325.8
1627,195579.78
1628,294220.2
1629,203096.78
1630,320482.1
1631,236807.44
1632,265547.84
1633,174116.55
1634,215001.4
1635,192090.25
1636,189352.27
1637,244481.44
1638,283035.7
1639,255061.45
1640,276058.1
1641,204878.86
1642,227582.19
1643,253753.19
1644,236926.9
1645,253629.44
1646,215243.28
1647,177678.02
1648,172874.4
1649,192772.48
1650,184371.47
1651,198893.38
1652,119938.22
1653,155223.86
1654,175008.34
1655,161255.0
1656,175114.8
1657,169921.6
1658,167599.19
1659,174027.11
1660,231229.27
1661,396314.7
1662,344013.2
1663,366881.16
1664,378504.53
1665,312481.66
1666,338697.53
1667,353610.7
1668,305855.03
1669,280320.3
1670,313585.16
1671,253489.1
1672,440394.16
1673,330965.44
1674,291098.16
1675,194300.23
1676,196387.78
1677,232942.23
1678,398199.97
1679,380796.72
1680,292102.12
1681,232205.28
1682,305043.0
1683,186290.77
1684,196590.78
1685,188627.89
1686,181560.03
1687,192507.19
1688,213728.25
1689,207547.27
1690,209481.22
1691,189906.81
1692,302554.34
1693,192972.84
1694,198088.38
1695,196077.77
1696,284025.53
1697,236708.5
1698,361405.5
1699,377045.16
1700,249847.75
1701,253550.73
1702,303927.2
1703,307126.8
1704,316471.9
1705,246182.47
1706,399799.8
1707,241746.02
1708,233699.55
1709,286745.62
1710,240998.98
1711,271856.6
1712,293708.44
1713,283544.88
1714,238595.19
1715,226164.53
1716,259782.36
1717,193976.86
1718,176012.11
1719,215948.39
1720,268630.3
1721,211040.44
1722,172419.42
1723,187168.05
1724,267473.34
1725,250266.19
1726,252534.73
1727,178998.4
1728,210563.23
1729,231426.78
1730,244993.25
1731,163327.64
1732,203642.55
1733,150520.53
1734,154912.7
1735,208019.77
1736,186534.73
1737,435398.28
1738,258943.33
1739,310820.7
1740,242417.88
1741,199191.05
1742,172736.8
1743,184247.38
1744,339118.1
1745,244813.16
1746,259479.89
1747,280554.4
1748,282840.5
1749,178924.47
1750,155392.9
1751,293214.62
1752,179642.58
1753,202658.33
1754,253804.53
1755,180532.58
1756,206105.88
1757,198258.05
1758,206317.16
1759,248369.89
1760,225611.89
1761,183764.5
1762,262559.75
1763,215173.86
1764,159244.98
1765,224415.98
1766,244511.16
1767,275491.8
1768,204885.34
1769,235554.77
1770,207107.77
1771,174523.67
1772,174425.11
1773,183495.38
1774,189811.52
1775,199245.92
1776,172186.72
1777,188414.92
1778,206487.22
1779,151057.27
1780,248115.45
1781,205553.19
1782,142070.94
1783,217188.23
1784,190054.86
1785,203353.47
1786,206018.83
1787,254519.84
1788,118438.97
1789,197638.86
1790,134793.58
1791,254246.52
1792,221459.02
1793,163255.0
1794,224286.6
1795,195152.22
1796,194112.39
1797,169314.97
1798,191599.44
1799,183908.72
1800,140784.42
1801,230387.31
1802,222902.77
1803,192692.6
1804,197493.88
1805,194364.53
1806,207853.28
1807,209928.02
1808,213816.12
1809,214266.98
1810,220535.34
1811,209611.27
1812,166961.4
1813,199830.97
1814,196640.1
1815,107343.125
1816,177368.52
1817,170048.64
1818,274040.3
1819,186461.14
1820,121444.36
1821,194380.27
1822,271434.06
1823,128620.41
1824,223436.56
1825,208850.94
1826,132471.69
1827,177752.78
1828,214810.67
1829,183201.53
